t_s,x,y,yaw,goal_x,goal_y,wp_idx,wp_change,d_wp,abs_dtheta,omega,cum_Sw,cum_Zw
1.01018624,-4.839787483215332,-0.21122324466705322,0.03413131395124065,8.248567581176758,6.345767498016357,1,0,14.638960546815952,0.4302991706504615,0.0,0.0,0
1.154552064,-4.83978796005249,-0.21122363209724426,0.03413175878319883,8.248567581176758,6.345767498016357,1,0,14.63896114668028,0.43029873489089976,0.0,0.0,0
1.2587136,-4.839787483215332,-0.2112232744693756,0.03413152063270026,8.248567581176758,6.345767498016357,1,0,14.63896056016482,0.43029896578918336,0.0,0.0,0
1.356657152,-4.839787483215332,-0.21122342348098755,0.03413160999988129,8.248567581176758,6.345767498016357,1,0,14.638960626909162,0.43029888552290974,0.0,0.0,0
1.459285504,-4.839787483215332,-0.21122333407402039,0.03413187833091144,8.248567581176758,6.345767498016357,1,0,14.638960586862558,0.43029861173133543,0.0,0.0,0
1.559065856,-4.839787483215332,-0.21122336387634277,0.0341318744559174,8.248567581176758,6.345767498016357,1,0,14.638960600211425,0.4302986174265109,0.0,0.0,0
1.663476224,-4.839788436889648,-0.21122384071350098,0.03413220795348446,8.248567581176758,6.345767498016357,1,0,14.638961666451397,0.43029828387192204,0.0,0.0,0
1.797058048,-4.83978796005249,-0.21122342348098755,0.03413181868599959,8.248567581176758,6.345767498016357,1,0,14.638961053238203,0.430298662246829,0.0,0.0,0
1.865934848,-4.839788436889648,-0.21122366189956665,0.0341319974300797,8.248567581176758,6.345767498016357,1,0,14.63896158635819,0.4302984834742385,0.0,0.0,0
1.971431936,-4.839788436889648,-0.21122387051582336,0.0341324185602283,8.248567581176758,6.345767498016357,1,0,14.638961679800266,0.43029807508535933,0.0,0.0,0
2.083549184,-4.83978796005249,-0.21122366189956665,0.03413226576109772,8.248567581176758,6.345767498016357,1,0,14.638961160029147,0.4302982297331823,0.0,0.0,0
2.209979392,-4.839787483215332,-0.21122369170188904,0.03413235718279176,8.248567581176758,6.345767498016357,1,0,14.638960747048978,0.43029815472163246,0.0,0.0,0
2.31062912,-4.839787483215332,-0.2112238109111786,0.03413247639183193,8.248567581176758,6.345767498016357,1,0,14.638960800444453,0.4302980427933183,0.0,0.0,0
2.41135488,-4.83978796005249,-0.21122387051582336,0.034132381092576054,8.248567581176758,6.345767498016357,1,0,14.638961253471228,0.430298127142974,0.0,0.0,0
2.549576192,-4.83978796005249,-0.21122407913208008,0.03413259533339647,8.248567581176758,6.345767498016357,1,0,14.638961346913309,0.4302979256434232,0.0,0.0,0
2.659708416,-4.83978796005249,-0.2112237811088562,0.034132172509223645,8.248567581176758,6.345767498016357,1,0,14.638961213424622,0.4302983302657819,0.0,0.0,0
2.775938304,-4.839788436889648,-0.2112242579460144,0.03413342807045476,8.248567581176758,6.345767498016357,1,0,14.638961853335557,0.4302970892374902,0.0,0.0,0
2.861785088,-4.839788436889648,-0.21122398972511292,0.034133312557470805,8.248567581176758,6.345767498016357,1,0,14.638961733195739,0.43029718836884223,0.0,0.0,0
2.97163136,-4.839788436889648,-0.21122395992279053,0.0341332493167204,8.248567581176758,6.345767498016357,1,0,14.63896171984687,0.4302972497894113,0.0,0.0,0
3.110451712,-4.83978796005249,-0.21122419834136963,0.03413327903900937,8.248567581176758,6.345767498016357,1,0,14.638961400308785,0.4302972492185355,0.0,0.0,0
3.209993728,-4.839788436889648,-0.2112242579460144,0.03413339837206053,8.248567581176758,6.345767498016357,1,0,14.638961853335557,0.4302971189358846,0.0,0.0,0
3.311242752,-4.839788436889648,-0.2112242579460144,0.03413363884928641,8.248567581176758,6.345767498016357,1,0,14.638961853335557,0.4302968784586585,0.0,0.0,0
3.410417152,-4.839788436889648,-0.2112244963645935,0.03413414364843769,8.248567581176758,6.345767498016357,1,0,14.63896196012651,0.4302963882209574,0.0,0.0,0
3.522855424,-4.839788436889648,-0.21122431755065918,0.03413363880397461,8.248567581176758,6.345767498016357,1,0,14.638961880033296,0.4302968821443329,0.0,0.0,0
3.624869632,-4.83978796005249,-0.21122336387634277,0.034132563088826604,8.248567581176758,6.345767498016357,1,0,14.638961026540468,0.4302979142036394,0.0,0.0,0
3.722914816,-4.83978796005249,-0.21122336387634277,0.034132473511562476,8.248567581176758,6.345767498016357,1,0,14.638961026540468,0.4302980037809032,0.0,0.0,0
3.865050624,-4.83978796005249,-0.21122339367866516,0.034132503460526875,8.248567581176758,6.345767498016357,1,0,14.638961039889335,0.43029797565212036,0.0,0.0,0
3.952993792,-4.83978796005249,-0.2112235426902771,0.03413277179150505,8.248567581176758,6.345767498016357,1,0,14.638961106633674,0.43029771642204917,0.0,0.0,0
4.076079104,-4.83978796005249,-0.2112235128879547,0.03413277165789085,8.248567581176758,6.345767498016357,1,0,14.638961093284808,0.4302977147354823,0.0,0.0,0
4.176361216,-4.83978796005249,-0.2112235724925995,0.03413315925743206,8.248567581176758,6.345767498016357,1,0,14.638961119982543,0.4302973307763036,0.0,0.0,0
4.310386688,-4.839788436889648,-0.21122372150421143,0.03413357870788791,8.248567581176758,6.345767498016357,1,0,14.638961613055924,0.4302969058367929,0.0,0.0,0
4.412695552,-4.839788913726807,-0.2112237513065338,0.03413363832423464,8.248567581176758,6.345767498016357,1,0,14.638962052733838,0.4302968334506665,0.0,0.0,0
4.512839424,-4.839788436889648,-0.21122384071350098,0.034133520630203196,8.248567581176758,6.345767498016357,1,0,14.638961666451397,0.43029697119520316,0.0,0.0,0
4.610647552,-4.839788436889648,-0.21122363209724426,0.0341333698596597,8.248567581176758,6.345767498016357,1,0,14.638961573009322,0.43029710922447695,0.0,0.0,0
4.710816,-4.839788436889648,-0.21122407913208008,0.03413280479236669,8.248567581176758,6.345767498016357,1,0,14.638961773242345,0.43029770159449043,0.0,0.0,0
4.828125952,-4.839788436889648,-0.2112244963645935,0.03413214500133348,8.248567581176758,6.345767498016357,1,0,14.63896196012651,0.43029838686806166,0.0,0.0,0
4.929889536,-4.839788436889648,-0.21122443675994873,0.03413178748898509,8.248567581176758,6.345767498016357,1,0,14.63896193342877,0.4302987407400476,0.0,0.0,0
5.08279936,-4.839788436889648,-0.21122485399246216,0.034132085239481746,8.248567581176758,6.345767498016357,1,0,14.638962120312945,0.43029846847208875,0.0,0.0,0
5.180397568,-4.83978796005249,-0.21122485399246216,0.034131906516697834,8.248567581176758,6.345767498016357,1,0,14.638961693983918,0.43029866178483633,0.0,0.0,0
5.285188608,-4.839788436889648,-0.2112247347831726,0.03413175764263808,8.248567581176758,6.345767498016357,1,0,14.638962066917465,0.43029878878820726,0.0,0.0,0
5.404510976,-4.83978796005249,-0.21122509241104126,0.034131996027113524,8.248567581176758,6.345767498016357,1,0,14.638961800774881,0.43029858683587063,0.0,0.0,0
5.512032,-4.839788436889648,-0.21122518181800842,0.03413208548983647,8.248567581176758,6.345767498016357,1,0,14.638962267150516,0.4302984882437273,0.0,0.0,0
5.634807552,-4.839788436889648,-0.21122533082962036,0.034133039535653546,8.248567581176758,6.345767498016357,1,0,14.638962333894868,0.4302975432988161,0.0,0.0,0
5.735984896,-4.839788436889648,-0.2112254500389099,0.034133072975489,8.248567581176758,6.345767498016357,1,0,14.63896238729035,0.43029751713970565,0.0,0.0,0
5.833387776,-4.839788436889648,-0.21122542023658752,0.03413280091751941,8.248567581176758,6.345767498016357,1,0,14.63896237394148,0.4302977873774938,0.0,0.0,0
5.934118656,-4.839788436889648,-0.21122515201568604,0.03413283077103526,8.248567581176758,6.345767498016357,1,0,14.638962253801646,0.4302977411423474,0.0,0.0,0
6.036215296,-4.839788436889648,-0.2112255096435547,0.03413327794876732,8.248567581176758,6.345767498016357,1,0,14.638962413988093,0.43029731580678954,0.0,0.0,0
6.167987712,-4.839788913726807,-0.21122556924819946,0.034133397014669414,8.248567581176758,6.345767498016357,1,0,14.638962867014854,0.4302971857912863,0.0,0.0,0
6.25387904,-4.839788913726807,-0.21122562885284424,0.034134231791922834,8.248567581176758,6.345767498016357,1,0,14.638962893712597,0.430296354654395,0.0,0.0,0
6.361078528,-4.839788913726807,-0.21122586727142334,0.03413417219222771,8.248567581176758,6.345767498016357,1,0,14.638963000503564,0.43029642881553887,0.0,0.0,0
6.486432,-4.839788913726807,-0.2112257480621338,0.03413390589449241,8.248567581176758,6.345767498016357,1,0,14.63896294710808,0.4302966878325498,0.0,0.0,0
6.602995712,-4.839789390563965,-0.21122592687606812,0.034134947017086095,8.248567581176758,6.345767498016357,1,0,14.638963453530325,0.4302956430410796,0.0,0.0,0
6.695945728,-4.839789390563965,-0.21122604608535767,0.03413473855267365,8.248567581176758,6.345767498016357,1,0,14.638963506925808,0.430295858786216,0.0,0.0,0
6.85495424,-4.839789390563965,-0.2112259864807129,0.03413467890535521,8.248567581176758,6.345767498016357,1,0,14.638963480228066,0.4302959147931724,0.0,0.0,0
6.982089472,-4.839789867401123,-0.21122631430625916,0.03413533482149337,8.248567581176758,6.345767498016357,1,0,14.638964053394666,0.4302952643090623,0.0,0.0,0
7.088060416,-4.839789867401123,-0.2112264335155487,0.03413631861344909,8.248567581176758,6.345767498016357,1,0,14.63896410679015,0.4302942877978304,0.0,0.0,0
7.187450624,-4.839789867401123,-0.21122649312019348,0.03413637617975944,8.248567581176758,6.345767498016357,1,0,14.638964133487892,0.43029423387188226,0.0,0.0,0
7.290632704,-4.839790344238281,-0.21122652292251587,0.03413696862126977,8.248567581176758,6.345767498016357,1,0,14.638964573165781,0.4302936286605905,0.0,0.0,0
7.390445056,-4.8397908210754395,-0.21122673153877258,0.03413718286997285,8.248567581176758,6.345767498016357,1,0,14.638965092936898,0.4302934125631914,0.0,0.0,0
7.511493888,-4.8397908210754395,-0.2112269401550293,0.03413789653112512,8.248567581176758,6.345767498016357,1,0,14.638965186378995,0.4302927116433053,0.0,0.0,0
7.61023488,-4.8397908210754395,-0.21122682094573975,0.03413793017583587,8.248567581176758,6.345767498016357,1,0,14.63896513298351,0.43029267071787114,0.0,0.0,0
7.687225344,-4.8397908210754395,-0.21122688055038452,0.03413798809127909,8.248567581176758,6.345767498016357,1,0,14.638965159681252,0.4302926164427894,0.0,0.0,0
7.795567872,-4.839791297912598,-0.21122705936431885,0.03413858213115633,8.248567581176758,6.345767498016357,1,0,14.638965666103497,0.4302920187340358,0.0,0.0,0
7.896410624,-4.839791297912598,-0.2112272083759308,0.03413891020963394,8.248567581176758,6.345767498016357,1,0,14.638965732847852,0.4302916997564621,0.0,0.0,0
