t_s,x,y,yaw,goal_x,goal_y,d_wp,abs_dtheta,omega,cum_Sw,cum_Zw
1.67881344,-12.409480094909668,-0.5132594704627991,0.04652430354821529,5.0,6.42,18.739265835667577,0.3324692721396305,0.0,0.0,0
1.779024384,-12.40950870513916,-0.5132747888565063,0.04658856144282847,5.0,6.42,18.73929808322898,0.3324052088087255,0.0,0.0,0
1.911441664,-12.409515380859375,-0.5133060812950134,0.04669560216747828,5.0,6.42,18.739315863000485,0.332299587662245,0.0,0.0,0
2.010886912,-12.409490585327148,-0.5132606029510498,0.046536539891453184,5.0,6.42,18.739276000663093,0.33245688482044633,0.0,0.0,0
2.1619456,-12.409482955932617,-0.5132585167884827,0.04653317536786462,5.0,6.42,18.739268140819384,0.3324602965519685,0.0,0.0,0
2.24946048,-12.409478187561035,-0.5132595300674438,0.04652238565572436,5.0,6.42,18.73926408572211,0.33247123064559325,0.0,0.0,0
2.375512064,-12.409506797790527,-0.5132747888565063,0.04658787344013076,5.0,6.42,18.739296311230788,0.332405934469826,0.0,0.0,0
2.462469632,-12.40952205657959,-0.5132902264595032,0.04663791726114882,5.0,6.42,18.739316198913183,0.33235635473052216,0.0,0.0,0
2.56225408,-12.409482955932617,-0.5132586359977722,0.04653196108603433,5.0,6.42,18.7392681849251,0.3324615167438427,0.0,0.0,0
2.66296576,-12.409485816955566,-0.5132653117179871,0.04652641283163076,5.0,6.42,18.73927331284351,0.3324673394729918,0.0,0.0,0
2.81397632,-12.409485816955566,-0.5132654905319214,0.04652616391194448,5.0,6.42,18.739273379002128,0.3324675972577409,0.0,0.0,0
2.914194688,-12.409514427185059,-0.5133063197135925,0.04669617553869174,5.0,6.42,18.7393150652137,0.3322990449403318,0.0,0.0,0
3.01143168,-12.409489631652832,-0.5132609009742737,0.04653395548718473,5.0,6.42,18.73927522492815,0.33245950282902603,0.0,0.0,0
3.114331392,-12.409477233886719,-0.5132598876953125,0.046519992423784615,5.0,6.42,18.739263332040156,0.3324736604368961,0.0,0.0,0
3.213668608,-12.409485816955566,-0.5132654309272766,0.046525194466480325,5.0,6.42,18.739273356949255,0.3324685637481841,0.0,0.0,0
3.358412032,-12.409505844116211,-0.5132749676704407,0.046587470189477106,5.0,6.42,18.739295491390333,0.33240636541473556,0.0,0.0,0
3.45848192,-12.40952205657959,-0.5132904052734375,0.0466384716626158,5.0,6.42,18.739316265071892,0.3323558091940959,0.0,0.0,0
3.558493184,-12.409481048583984,-0.513258695602417,0.046529546783411216,5.0,6.42,18.739266434979555,0.33246397165992336,0.0,0.0,0
3.659519488,-12.409483909606934,-0.5132655501365662,0.04652429262225052,5.0,6.42,18.7392716290568,0.3324695091609078,0.0,0.0,0
3.735492608,-12.409513473510742,-0.5133060216903687,0.04669674204845633,5.0,6.42,18.739314068950335,0.33229848248475546,0.0,0.0,0
3.841868544,-12.4094877243042,-0.5132611393928528,0.0465326162366178,5.0,6.42,18.739273541141173,0.3324608915580969,0.0,0.0,0
3.969303808,-12.409478187561035,-0.5132601261138916,0.04651844598731138,5.0,6.42,18.739264306250774,0.332475199864231,0.0,0.0,0
4.06410112,-12.4094877243042,-0.51326584815979,0.04652292829506481,5.0,6.42,18.73927528331759,0.3324708129462999,0.0,0.0,0
4.179998976,-12.409521102905273,-0.5133073329925537,0.0466958397333204,5.0,6.42,18.739321642104134,0.3322992991761877,0.0,0.0,0
4.262936576,-12.409497261047363,-0.5132617950439453,0.04652966569312676,5.0,6.42,18.739282643714823,0.3324636863147772,0.0,0.0,0
4.372714496,-12.4094877243042,-0.5132603049278259,0.04651777424644175,5.0,6.42,18.739273232401157,0.3324756921779759,0.0,0.0,0
4.474020096,-12.409501075744629,-0.5132662057876587,0.046520312566823895,5.0,6.42,18.73928781962299,0.3324731827957317,0.0,0.0,0
4.575597312,-12.409536361694336,-0.5132775902748108,0.046573671513851826,5.0,6.42,18.739324813689638,0.33241969157729034,0.0,0.0,0
4.69982976,-12.409547805786133,-0.513308584690094,0.046694026360796226,5.0,6.42,18.7393469131795,0.3323006473858441,0.0,0.0,0
4.826441472,-12.40952205657959,-0.5132629871368408,0.04652829595986313,5.0,6.42,18.739306120754122,0.33246462558989753,0.0,0.0,0
4.928005888,-12.409512519836426,-0.5132613182067871,0.046518478221501194,5.0,6.42,18.739296643281033,0.3324745488793597,0.0,0.0,0
5.028917504,-12.40953254699707,-0.5132689476013184,0.04651407434273664,5.0,6.42,18.739318072030343,0.3324789355879729,0.0,0.0,0
5.128558592,-12.409567832946777,-0.5133100152015686,0.0466934308576505,5.0,6.42,18.739366048425158,0.3323009183964585,0.0,0.0,0
5.221481472,-12.409571647644043,-0.5133087635040283,0.04669502082960647,5.0,6.42,18.739369129309907,0.33229919105277306,0.0,0.0,0
5.34743424,-12.409547805786133,-0.513263463973999,0.04652861596585956,5.0,6.42,18.739330219162838,0.33246382083756876,0.0,0.0,0
5.430026752,-12.409536361694336,-0.5132607817649841,0.04653655972675793,5.0,6.42,18.739318594792014,0.3324559700503733,0.0,0.0,0
5.579857408,-12.409530639648438,-0.5132616758346558,0.046520543102921814,5.0,6.42,18.739313609587075,0.332472143974202,0.0,0.0,0
5.663665408,-12.409550666809082,-0.5132694840431213,0.04651252703020808,5.0,6.42,18.739335104494934,0.3324801517422058,0.0,0.0,0
5.779660032,-12.409587860107422,-0.5133112668991089,0.0466942435460264,5.0,6.42,18.739385117514125,0.3322997723512051,0.0,0.0,0
5.86824192,-12.409588813781738,-0.5133101344108582,0.04669398971068581,5.0,6.42,18.73938558450833,0.33229995121236744,0.0,0.0,0
5.979005184,-12.409563064575195,-0.5132644772529602,0.04652714224767603,5.0,6.42,18.739344770054224,0.3324650435255072,0.0,0.0,0
6.078240768,-12.409552574157715,-0.5132614970207214,0.046535879397712185,5.0,6.42,18.739333921418645,0.33245636574478743,0.0,0.0,0
6.22344192,-12.409560203552246,-0.5132685303688049,0.04651634484035908,5.0,6.42,18.739343611645328,0.33247609836085434,0.0,0.0,0
6.3306112,-12.409590721130371,-0.5132796764373779,0.04656940867173675,5.0,6.42,18.739376087505377,0.33242298458577,0.0,0.0,0
6.427327488,-12.409603118896484,-0.513312041759491,0.0466935831364323,5.0,6.42,18.73939958018659,0.3323001699100594,0.0,0.0,0
6.534258944,-12.409603118896484,-0.5132933855056763,0.04664002170411747,5.0,6.42,18.739392677645316,0.3323528064267225,0.0,0.0,0
6.631257344,-12.409576416015625,-0.5132649540901184,0.0465269664819756,5.0,6.42,18.73935735047234,0.3324649793243708,0.0,0.0,0
6.734916608,-12.409563064575195,-0.5132632255554199,0.04652108002915003,5.0,6.42,18.739344306945746,0.3324710436887903,0.0,0.0,0
6.86143488,-12.409570693969727,-0.5132644772529602,0.046510149631440505,5.0,6.42,18.73935185805174,0.3324818855091767,0.0,0.0,0
6.973885952,-12.4096097946167,-0.5132796764373779,0.04657489350776514,5.0,6.42,18.739393807498505,0.3324171231689741,0.0,0.0,0
7.079847936,-12.409610748291016,-0.51328045129776,0.04657044977148596,5.0,6.42,18.739394980184333,0.33242158649128273,0.0,0.0,0
7.178976,-12.409624099731445,-0.5132983922958374,0.04663858046981021,5.0,6.42,18.73941402207022,0.33235408164216373,0.0,0.0,0
